age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,mental_fatigue_score,screen_time_group,sleep_group,caffeine_group,age_group
56,Female,Designer,3.26,86,5.31,7.72,3.49,0,35,3.57,Medium,Low,None,50+
46,Female,Teacher,1.85,32,7.36,9.7,3.01,0,16,1.91,Low,Medium,None,30-50
32,Female,Designer,3.04,107,4.5,6.38,5.03,0,17,6.05,Medium,Low,None,30-50
25,Male,Software Engineer,9,36,6.68,5.53,10,0,3,9.92,High,Medium,None,Under 30
38,Female,Teacher,3.52,56,7.57,6.69,6.71,4,92,5.99,Medium,Medium,High,30-50
56,Male,Teacher,7.26,10,7.79,6.16,10,2,50,7.85,High,Medium,Low,50+
36,Female,Teacher,4.56,83,6.81,6.81,5.38,0,19,5.52,Medium,Medium,None,30-50
40,Male,Manager,3.36,89,6.5,8.75,3.48,2,66,4.5,Medium,Medium,Low,30-50
28,Male,Student,2.3,109,7.57,8.05,3.46,3,103,2.52,Low,Medium,High,Under 30
28,Female,Manager,9.75,46,4.73,5.52,10,3,56,10,High,Low,High,Under 30
41,Male,Designer,5.69,65,7.4,5.78,7.9,1,13,7.91,Medium,Medium,Low,30-50
53,Female,Designer,2.03,88,8.6,5.79,5.23,0,91,3.37,Low,High,None,50+
57,Male,Designer,2.79,3,7.41,10,1.87,3,111,1.57,Low,Medium,High,50+
41,Male,Student,4.67,82,4.23,4.66,7.93,4,43,9.04,Medium,Low,High,30-50
20,Male,Designer,5.9,76,6.53,5.36,8.09,4,105,8.29,Medium,Medium,High,Under 30
39,Female,Manager,2.64,82,7.63,7.14,5.35,2,24,5.84,Low,Medium,Low,30-50
19,Male,Freelancer,3.5,76,4.22,8.25,4.36,4,63,4.57,Medium,Low,High,Under 30
41,Female,Manager,8.05,54,7.81,6.23,6.99,0,1,5.75,High,Medium,None,30-50
47,Male,Freelancer,4.76,11,5.41,6.82,7.48,3,37,5.57,Medium,Low,High,30-50
55,Male,Teacher,1.01,65,6.94,8.61,2.94,3,77,1.97,Low,Medium,High,50+
